iter,utterance_length,nb_utterances,produced,production_score
1,2,4041,3260,0.806731007176
1,3,3166,2125,0.671193935565
1,4,1793,866,0.482989403235
1,5,940,287,0.305319148936
1,6,478,95,0.198744769874
1,7,237,32,0.135021097046
1,8,134,11,0.0820895522388
1,9,89,5,0.0561797752809
1,10,44,2,0.0454545454545
1,11,33,0,0.0
1,12,15,1,0.0666666666667
1,13,13,0,0.0
1,14,11,0,0.0
1,15,4,0,0.0
1,16,4,0,0.0
1,17,6,1,0.166666666667
1,18,4,1,0.25
1,19,3,0,0.0
1,20,1,0,0.0
1,21,1,0,0.0
1,22,5,0,0.0
1,23,1,0,0.0
1,38,1,0,0.0
2,2,4041,3256,0.80574115318
2,3,3166,2134,0.674036639292
2,4,1793,855,0.47685443391
2,5,940,278,0.295744680851
2,6,478,99,0.207112970711
2,7,237,29,0.122362869198
2,8,134,10,0.0746268656716
2,9,89,3,0.0337078651685
2,10,44,3,0.0681818181818
2,11,33,1,0.030303030303
2,12,15,1,0.0666666666667
2,13,13,0,0.0
2,14,11,0,0.0
2,15,4,0,0.0
2,16,4,0,0.0
2,17,6,1,0.166666666667
2,18,4,0,0.0
2,19,3,0,0.0
2,20,1,0,0.0
2,21,1,0,0.0
2,22,5,0,0.0
2,23,1,0,0.0
2,38,1,0,0.0
3,2,4041,3256,0.80574115318
3,3,3166,2139,0.675615919141
3,4,1793,843,0.4701617401
3,5,940,290,0.308510638298
3,6,478,96,0.200836820084
3,7,237,33,0.139240506329
3,8,134,11,0.0820895522388
3,9,89,4,0.0449438202247
3,10,44,2,0.0454545454545
3,11,33,1,0.030303030303
3,12,15,2,0.133333333333
3,13,13,0,0.0
3,14,11,1,0.0909090909091
3,15,4,0,0.0
3,16,4,0,0.0
3,17,6,1,0.166666666667
3,18,4,0,0.0
3,19,3,0,0.0
3,20,1,0,0.0
3,21,1,0,0.0
3,22,5,0,0.0
3,23,1,0,0.0
3,38,1,0,0.0
4,2,4041,3260,0.806731007176
4,3,3166,2133,0.673720783323
4,4,1793,838,0.46737311768
4,5,940,283,0.301063829787
4,6,478,98,0.205020920502
4,7,237,28,0.118143459916
4,8,134,11,0.0820895522388
4,9,89,4,0.0449438202247
4,10,44,3,0.0681818181818
4,11,33,1,0.030303030303
4,12,15,1,0.0666666666667
4,13,13,0,0.0
4,14,11,0,0.0
4,15,4,0,0.0
4,16,4,0,0.0
4,17,6,1,0.166666666667
4,18,4,0,0.0
4,19,3,0,0.0
4,20,1,0,0.0
4,21,1,0,0.0
4,22,5,0,0.0
4,23,1,0,0.0
4,38,1,0,0.0
5,2,4041,3249,0.804008908686
5,3,3166,2127,0.671825647505
5,4,1793,847,0.472392638037
5,5,940,266,0.282978723404
5,6,478,95,0.198744769874
5,7,237,35,0.147679324895
5,8,134,10,0.0746268656716
5,9,89,3,0.0337078651685
5,10,44,2,0.0454545454545
5,11,33,0,0.0
5,12,15,2,0.133333333333
5,13,13,0,0.0
5,14,11,0,0.0
5,15,4,0,0.0
5,16,4,0,0.0
5,17,6,1,0.166666666667
5,18,4,0,0.0
5,19,3,0,0.0
5,20,1,0,0.0
5,21,1,0,0.0
5,22,5,0,0.0
5,23,1,0,0.0
5,38,1,0,0.0
6,2,4041,3252,0.804751299183
6,3,3166,2136,0.674668351232
6,4,1793,859,0.479085331846
6,5,940,293,0.31170212766
6,6,478,95,0.198744769874
6,7,237,28,0.118143459916
6,8,134,10,0.0746268656716
6,9,89,2,0.0224719101124
6,10,44,1,0.0227272727273
6,11,33,1,0.030303030303
6,12,15,1,0.0666666666667
6,13,13,0,0.0
6,14,11,0,0.0
6,15,4,0,0.0
6,16,4,0,0.0
6,17,6,1,0.166666666667
6,18,4,0,0.0
6,19,3,0,0.0
6,20,1,0,0.0
6,21,1,0,0.0
6,22,5,0,0.0
6,23,1,0,0.0
6,38,1,0,0.0
7,2,4041,3255,0.805493689681
7,3,3166,2117,0.668667087808
7,4,1793,856,0.477412158394
7,5,940,291,0.309574468085
7,6,478,89,0.186192468619
7,7,237,32,0.135021097046
7,8,134,11,0.0820895522388
7,9,89,3,0.0337078651685
7,10,44,2,0.0454545454545
7,11,33,1,0.030303030303
7,12,15,1,0.0666666666667
7,13,13,0,0.0
7,14,11,0,0.0
7,15,4,0,0.0
7,16,4,0,0.0
7,17,6,1,0.166666666667
7,18,4,0,0.0
7,19,3,0,0.0
7,20,1,0,0.0
7,21,1,0,0.0
7,22,5,0,0.0
7,23,1,0,0.0
7,38,1,0,0.0
8,2,4041,3257,0.805988616679
8,3,3166,2108,0.665824384081
8,4,1793,861,0.480200780814
8,5,940,279,0.296808510638
8,6,478,102,0.213389121339
8,7,237,35,0.147679324895
8,8,134,12,0.089552238806
8,9,89,2,0.0224719101124
8,10,44,2,0.0454545454545
8,11,33,0,0.0
8,12,15,1,0.0666666666667
8,13,13,0,0.0
8,14,11,1,0.0909090909091
8,15,4,0,0.0
8,16,4,0,0.0
8,17,6,1,0.166666666667
8,18,4,0,0.0
8,19,3,0,0.0
8,20,1,0,0.0
8,21,1,0,0.0
8,22,5,0,0.0
8,23,1,0,0.0
8,38,1,0,0.0
9,2,4041,3248,0.803761445187
9,3,3166,2132,0.673404927353
9,4,1793,852,0.475181260457
9,5,940,281,0.298936170213
9,6,478,96,0.200836820084
9,7,237,33,0.139240506329
9,8,134,11,0.0820895522388
9,9,89,4,0.0449438202247
9,10,44,2,0.0454545454545
9,11,33,0,0.0
9,12,15,2,0.133333333333
9,13,13,0,0.0
9,14,11,0,0.0
9,15,4,0,0.0
9,16,4,0,0.0
9,17,6,1,0.166666666667
9,18,4,0,0.0
9,19,3,0,0.0
9,20,1,0,0.0
9,21,1,0,0.0
9,22,5,0,0.0
9,23,1,0,0.0
9,38,1,0,0.0
10,2,4041,3257,0.805988616679
10,3,3166,2110,0.66645609602
10,4,1793,851,0.474623535973
10,5,940,280,0.297872340426
10,6,478,94,0.196652719665
10,7,237,37,0.15611814346
10,8,134,11,0.0820895522388
10,9,89,5,0.0561797752809
10,10,44,1,0.0227272727273
10,11,33,1,0.030303030303
10,12,15,1,0.0666666666667
10,13,13,0,0.0
10,14,11,0,0.0
10,15,4,0,0.0
10,16,4,0,0.0
10,17,6,1,0.166666666667
10,18,4,0,0.0
10,19,3,0,0.0
10,20,1,0,0.0
10,21,1,0,0.0
10,22,5,0,0.0
10,23,1,0,0.0
10,38,1,0,0.0
